les Escaldes	les Escaldes	AD	08	15853	42.50729	1.53414	Europe/Andorra
Andorra la Vella	Andorra la Vella	AD	07	20430	42.50779	1.52109	Europe/Andorra
Warīsān	Warisan	AE	03	108759	25.16744	55.40708	Asia/Dubai
Umm Suqaym	Umm Suqaym	AE	03	16459	25.15491	55.21015	Asia/Dubai
Umm Al Quwain City	Umm Al Quwain City	AE	07	59098	25.56473	55.55517	Asia/Dubai
Ţarīf Kalbā	Tarif Kalba	AE	04	51000	25.0695	56.33115	Asia/Dubai
Ar Rāshidīyah	Ar Rashidiyah	AE	03	38425	25.22499	55.38947	Asia/Dubai
Ras Al Khaimah	Ras Al Khaimah	AE	05	351943	25.78953	55.9432	Asia/Dubai
Zayed City	Zayed City	AE	01	63482	23.65416	53.70522	Asia/Dubai
Khawr Fakkān	Khawr Fakkan	AE	06	40677	25.33132	56.34199	Asia/Dubai
Kalbā	Kalba	AE	06	37545	25.0513	56.35422	Asia/Dubai
Jumayrā	Jumayra	AE	03	39080	25.20795	55.24969	Asia/Dubai
Dubai	Dubai	AE	03	3790000	25.07725	55.30927	Asia/Dubai
Dibba Al-Fujairah	Dibba Al-Fujairah	AE	04	30000	25.59246	56.26176	Asia/Dubai
Dibba Al-Hisn	Dibba Al-Hisn	AE	04	26395	25.61955	56.27291	Asia/Dubai
Dayrah	Dayrah	AE	03	400000	25.27143	55.30207	Asia/Dubai
Sharjah	Sharjah	AE	06	1800000	25.3342	55.41221	Asia/Dubai
Ar Ruways	Ar Ruways	AE	01	25000	24.11028	52.73056	Asia/Dubai
Ḩattā	Hatta	AE	03	15324	24.80073	56.12726	Asia/Dubai
Fujairah	Fujairah	AE	04	118933	25.11641	56.34141	Asia/Dubai
Al Ain City	Al Ain City	AE	01	846747	24.19167	55.76056	Asia/Dubai
Ajman	Ajman	AE	02	490035	25.40177	55.47878	Asia/Dubai
Adh Dhayd	Adh Dhayd	AE	06	20165	25.28812	55.88157	Asia/Dubai
Abu Dhabi	Abu Dhabi	AE	01	1807000	24.45118	54.39696	Asia/Dubai
Abū Hayl	Abu Hayl	AE	03	18043	25.28413	55.33153	Asia/Dubai
As Saţwah	As Satwah	AE	03	40997	25.22192	55.27459	Asia/Dubai
Al Ḩamīdīyah	Al Hamidiyah	AE	02	27000	25.40001	55.52925	Asia/Dubai
Al Waheda	Al Waheda	AE	03	21608	25.29173	55.33822	Asia/Dubai
Al Karama	Al Karama	AE	03	75560	25.24004	55.30106	Asia/Dubai
Al Wasl	Al Wasl	AE	03	22153	25.19881	55.25565	Asia/Dubai
The Palm Jumeirah	The Palm Jumeirah	AE	03	25500	25.11607	55.13506	Asia/Dubai
Bur Dubai	Bur Dubai	AE	03	18698	25.26038	55.29891	Asia/Dubai
Khalifah A City	Khalifah A City	AE	01	85374	24.42588	54.605	Asia/Dubai
Mirdif	Mirdif	AE	03	60288	25.22443	55.41412	Asia/Dubai
Hawr al ‘Anz	Hawr al 'Anz	AE	03	84661	25.27744	55.33675	Asia/Dubai
Mankhūl	Mankhul	AE	03	41244	25.24612	55.29222	Asia/Dubai
Nāyf	Nayf	AE	03	53075	25.27139	55.30323	Asia/Dubai
Al Murar al Qadīm	Al Murar al Qadim	AE	03	19831	25.27576	55.30738	Asia/Dubai
Al Warqaa	Al Warqaa	AE	03	59111	25.19272	55.42013	Asia/Dubai
International City	International City	AE	03	120000	25.16383	55.40987	Asia/Dubai
Dubai Marina	Dubai Marina	AE	03	120000	25.08525	55.14646	Asia/Dubai
Dubai Internet City	Dubai Internet City	AE	03	24000	25.09538	55.16171	Asia/Dubai
Al Safa	Al Safa	AE	03	15672	25.17047	55.23336	Asia/Dubai
Ar Rumaylah	Ar Rumaylah	AE	02	86000	25.40338	55.4334	Asia/Dubai
Al Jurf	Al Jurf	AE	02	18000	25.41814	55.50791	Asia/Dubai
Al Majaz	Al Majaz	AE	06	116503	25.32354	55.38774	Asia/Dubai
Dubai Festival City	Dubai Festival City	AE	03	77000	25.22177	55.35733	Asia/Dubai
Dubai International Financial Centre	Dubai International Financial Centre	AE	03	36000	25.2106	55.27787	Asia/Dubai
Dubai Investments Park	Dubai Investments Park	AE	03	160000	25.00827	55.15682	Asia/Dubai
Jebel Ali	Jebel Ali	AE	03	210000	25.00255	55.10811	Asia/Dubai
Bani Yas City	Bani Yas City	AE	01	80498	24.30978	54.62944	Asia/Dubai
Musaffah	Musaffah	AE	01	243341	24.35893	54.48267	Asia/Dubai
Al Shamkhah City	Al Shamkhah City	AE	01	61710	24.39268	54.70779	Asia/Dubai
Reef Al Fujairah City	Reef Al Fujairah City	AE	04	82310	25.14479	56.24764	Asia/Dubai
Al Bada'a	Al Bada'a	AE	03	18816	25.22462	55.26888	Asia/Dubai
Al Muteena	Al Muteena	AE	03	48739	25.27375	55.32265	Asia/Dubai
Al Mizhar First	Al Mizhar First	AE	03	17498	25.24805	55.44128	Asia/Dubai
Dubai Silicon Oasis	Dubai Silicon Oasis	AE	03	90000	25.11985	55.38718	Asia/Dubai
Al Furjan	Al Furjan	AE	03	26000	25.02651	55.14565	Asia/Dubai
Business Bay	Business Bay	AE	03	191000	25.18544	55.26969	Asia/Dubai
Al Qusais 1	Al Qusais 1	AE	03	48378	25.27925	55.36995	Asia/Dubai
Halwan	Halwan	AE	06	19389	25.34586	55.42165	Asia/Dubai
Al Sajaah	Al Sajaah	AE	06	53079	25.31532	55.63211	Asia/Dubai
Lahbab	Lahbab	AE	03	53079	25.03763	55.59135	Asia/Dubai
Mohammed Bin Zayed City	Mohammed Bin Zayed City	AE	01	85000	24.34794	54.55368	Asia/Dubai
Zaranj	Zaranj	AF	19	49851	30.95962	61.86037	Asia/Kabul
Bāzār-e Yakāwlang	Bazar-e Yakawlang	AF	05	65000	34.73525	66.97379	Asia/Kabul
Taloqan	Taloqan	AF	26	64256	36.73605	69.53451	Asia/Kabul
Shīnḏanḏ	Shindand	AF	11	29264	33.30294	62.1474	Asia/Kabul
Shibirghān	Shibirghan	AF	31	55641	36.66757	65.7529	Asia/Kabul
Shahrak	Shahrak	AF	09	15967	34.10737	64.3052	Asia/Kabul
Sar-e Pul	Sar-e Pul	AF	33	52121	36.21544	65.93249	Asia/Kabul
Sang-e Chārak	Sang-e Charak	AF	33	15377	35.84972	66.43694	Asia/Kabul
Aībak	Aibak	AF	32	47823	36.26468	68.01551	Asia/Kabul
Rustāq	Rustaq	AF	26	25636	37.12604	69.83045	Asia/Kabul
Qarqīn	Qarqin	AF	31	15018	37.41853	66.04358	Asia/Kabul
Qarāwul	Qarawul	AF	24	24544	37.21959	68.7802	Asia/Kabul
Pul-e Khumrī	Pul-e Khumri	AF	03	56369	35.94458	68.71512	Asia/Kabul
Paghmān	Paghman	AF	13	49157	34.58787	68.95091	Asia/Kabul
Nīlī	Nili	AF	41	30058	33.72178	66.13023	Asia/Kabul
Nahrīn	Nahrin	AF	03	22363	36.0649	69.13343	Asia/Kabul
Maymana	Maymana	AF	07	75900	35.92139	64.78361	Asia/Kabul
Mehtar Lām	Mehtar Lam	AF	35	17345	34.67139	70.20944	Asia/Kabul
Mazār-e Sharīf	Mazar-e Sharif	AF	30	523300	36.70904	67.11087	Asia/Kabul
Lashkar Gāh	Lashkar Gah	AF	10	43934	31.59382	64.37161	Asia/Kabul
Kushk	Kushk	AF	11	16952	33.29565	61.95221	Asia/Kabul
Kunduz	Kunduz	AF	24	161902	36.72895	68.857	Asia/Kabul
Khōst	Khost	AF	37	96123	33.33951	69.92041	Asia/Kabul
Khulm	Khulm	AF	30	64933	36.69736	67.69826	Asia/Kabul
Khāsh	Khash	AF	19	15133	31.52919	62.79055	Asia/Kabul
Khān Neshīn	Khan Neshin	AF	10	25600	30.5488	63.7888	Asia/Kabul
Khanabad	Khanabad	AF	24	71531	36.68304	69.11279	Asia/Kabul
Karukh	Karukh	AF	11	17484	34.48108	62.5863	Asia/Kabul
Kandahār	Kandahar	AF	23	523300	31.61332	65.71013	Asia/Kabul
Kabul	Kabul	AF	13	4434550	34.52813	69.17233	Asia/Kabul
Jurm	Jurm	AF	01	23064	36.86477	70.83421	Asia/Kabul
Jalālābād	Jalalabad	AF	18	271900	34.42647	70.45153	Asia/Kabul
Jabal os Saraj	Jabal os Saraj	AF	40	15032	35.11833	69.23778	Asia/Kabul
Herāt	Herat	AF	11	574300	34.34817	62.19967	Asia/Kabul
Ghormach	Ghormach	AF	02	30000	35.73062	63.78264	Asia/Kabul
Ghazni	Ghazni	AF	08	141000	33.55391	68.42096	Asia/Kabul
